RFQ ID,Title,Buyer Name,Buyer Image,Inquiry Time,Quotes Left,Country,Quantity Required,Email Confirmed,Experienced Buyer,Complete Order via RFQ,Typical Replies,Interactive User,Inquiry URL,Inquiry Date,Scraping Date
ID1IpEE-i7,2024 New 3-in-1 Handheld 1500W 2000W Laser Welder Machine with Air Cooling Laser Source Gear Core ...,Laser Welder Machine,N/A,1 hours before,8,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1IpEE-i7jiLM1dIEgIZPEYRd_LSAHGHrbmf2vnOkaxwg_P1yvUkBjIatuWaTKqGsm&uuid=3de4921a-1bca-48cb-84b7-3c1a09d6c487&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1-NTLqsC,New Luxury Automatic Mens Watch Leather Band Calendar Quartz Sport Design Luminous Waterproof Men&39...,New Luxury Automatic,N/A,1 hours before,10,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1-NTLqsC9i99jT8grA7Q9URJm6E1BLDgDwLE48fjGz6giwc553z9s73esqU17J9q6&uuid=3de4921a-1bca-48cb-84b7-3c1a09d6c487&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1Tv-SKch,Wholesale 250ml Victoria Original Brand Perfume Spray Floral Eau De Parfum Body Deodorant Secret Part,Victoria Original Brand,N/A,3 hours before,9,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1Tv-SKchNMBh86ixe2kgGmi3qSb4Q0Bfyqxao5wvXpafsq3BGrgrNItCmuTU9vaOu&language=ar_AR&uuid=3de4921a-1bca-48cb-84b7-3c1a09d6c487&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1gkip1Du,High Quality Professional Supplier of Original Charger PD 20W USB-C Fast Phone Charger for Ugreen ...,High Quality Professional,N/A,7 hours before,0,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1gkip1Du-bsn7ST4N7w2wE65fXLyZrXPgIVWw06K5tvLRQdJO9glvQU0-jDywSD-7&uuid=a058f7c5-d0f5-40f0-a6d1-9ab90e0d6fd0&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1QDZfR_t,Best Sell Cheap Price Copper Cable Scrap Pure Copper Wire Material Origin Bright Copper/Millberry 99...,Best Sell Cheap,N/A,9 hours before,10,United Arab Emirates,N/A,Yes,No,No,Yes,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1QDZfR_tyvxuomtKSn3xQJMLuH4ccqXEXqPs2noa49fbpKLHsq0m_WR0d0K4Mc4ek&uuid=a058f7c5-d0f5-40f0-a6d1-9ab90e0d6fd0&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID19ho4AS0,Mortise Lock case for Aluminum Door Lock Aluminum Multi-point Mortise Lock With Hook for Pvc Sliding...,Mortise Lock,N/A,10 hours before,0,United Arab Emirates,N/A,Yes,Yes,No,Yes,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID19ho4AS0pfX-O25lVPdsCzLGYM2bMEu-K6Qh9Xsv0pMq5Rz-H_NRgEjmAMEcawBbI&uuid=a058f7c5-d0f5-40f0-a6d1-9ab90e0d6fd0&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1Rvubc6Y,High-Power Airless High-Pressure Spraying Machine New Generation Power Spray Gun Latex Paint Coating...,Power Airless High,N/A,10 hours before,6,United Arab Emirates,N/A,No,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1Rvubc6Yi37NDOLLFDjONR2LeAd8TFRd5rmDZQcnQ8vfWwb5gy7C7eUEJ2lnEmivO&uuid=a058f7c5-d0f5-40f0-a6d1-9ab90e0d6fd0&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1FMkVvCj,portable color ultrasound trolly ABS table mobile laptop cart ultrasound trolley medical equipment ...,Product Name,N/A,12 hours before,5,United Arab Emirates,N/A,Yes,Yes,No,Yes,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1FMkVvCjSq6t2sJqG6UMueOPImBX35XFgIcFf6-Qm2bAZsZMm5SQ_dtsm1HS907lE&uuid=b2f04418-1ffd-40fd-a23a-e12ed7983cad&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID12NiLxeO,Handcrafted Charpai Daybed Traditional Indian Daybed Wooden Charpai Bed Indian Charpai Daybed Rustic...,Handcrafted Charpai Daybed,N/A,12 hours before,10,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID12NiLxeOb-K1y3jFEOKMHrc1XKgvhmw-J3TfKOhSU2_kwSWFX3LKRwtByn4YpKk_s&uuid=b2f04418-1ffd-40fd-a23a-e12ed7983cad&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1bwX_h-W,Hot Sale 32-Hole Automatic Rocket Electric Soap Bubbles Machine Kids Plastic Outdoor Play Toy for ...,Hot Sale,N/A,12 hours before,9,United Arab Emirates,3000 pieces.Only 1000pcs.How much total if delivered to Dubai,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1bwX_h-WSxIzycN7luo3JEgxAyU7hJq6_InoxwD6cQaVZqTZy_64K9AHtnveKIe6V&uuid=b2f04418-1ffd-40fd-a23a-e12ed7983cad&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1kX3HqnJ,Front Outer Tie Rod End 12471376 19149617 26059226 ES3493T for Chevrolet Silverado CADILLAC ESCALADE...,Front Outer Tie,N/A,13 hours before,2,United Arab Emirates,N/A,Yes,No,No,Yes,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1kX3HqnJZPfTglXy5Z7AjSm5FRssPHzvTcTEQZJp1zWxxwmpDx7nhE9przI6_qoCM&uuid=b2f04418-1ffd-40fd-a23a-e12ed7983cad&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1Go3baBS,Factory Price Mountain Bike Mtb Bicycle 26 27.5 Downhill Mountain Bike for Men/steel Steel Plastic Aluminum Alloy FX 21 Speed,Factory Price Mountain,N/A,15 hours before,10,United Arab Emirates,N/A,Yes,No,No,No,Yes,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1Go3baBSU21g22bXs501MPlU6_H7sptX1lgW7GpuLxOHzsTwbsUkj2g0ly596VgcP&language=ar_AR&uuid=980f0b48-2b23-4fe8-9880-093dda5b414c&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1hdjK4J3,12.3Android Radio Stereo for Dodge Challenger SRT Hellcat 2010-2023 Carplay Car LCD Touch Screen ...,Android Radio Stereo,N/A,15 hours before,8,United Arab Emirates,N/A,No,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1hdjK4J3r1IWWW9KSoiR0UG_d2Bhb8eAmDdncyj3IJY4v6iL4eifDTMLlj2qjcZ3Y&uuid=980f0b48-2b23-4fe8-9880-093dda5b414c&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID11YcU5Qr,Ultralight Honeycomb Gaming Mouse USB Wired Gaming Mouse Mechanical Mice 7200DPI Adjustable Gamer ...,Ultralight Honeycomb Gaming,N/A,15 hours before,5,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID11YcU5QrF2hiMWo9F3hS6ayC1MH5XvfHM63hbxyzsJgUsrC4gAOLu9VN9UqcmyDjy&uuid=980f0b48-2b23-4fe8-9880-093dda5b414c&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1NLp6qdB,01AV474 01AV475 L17C4P71 L17M4P71 SB10K97623 SB10K97624 original laptop battery for Lenovo ThinkPad ...,Lenovo Think,N/A,16 hours before,2,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1NLp6qdB4NsMzKEs9j6Z0hzOB9funvVaQyhrBWQwWxv4hCg49yEq8F8Mhlt3I5Eyv&uuid=980f0b48-2b23-4fe8-9880-093dda5b414c&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1UHu4IDH,ChamRider EU Warehouse 20in Fat Tire Takeaway Ebike Electric Cargo Bike 750W Electric City Bike Free...,Fat Tire Takeaway,N/A,16 hours before,9,United Arab Emirates,N/A,Yes,No,No,Yes,Yes,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1UHu4IDHvjAD7GlTiNj3XeK7XqR_rx7WDDkO_hkIW1RFMFAWSaKOOyPhDUQKArIr3&uuid=3d24db7e-fcd4-4999-aae1-b69ca177494a&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1UHu4IDH,Your Perfect Travel Companion Electric Portable Bidet Outdoor Cleaning Travel Shattaf Bidet Bottle ...,Your Perfect Travel,N/A,17 hours before,9,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1UHu4IDHvjAD7GlTiNj3XeERtytxYumbh2FrToQUJQhEdSZX-ODhtNR71sYOCwzVy&uuid=3d24db7e-fcd4-4999-aae1-b69ca177494a&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1mzucu3n,WANKAILUN Electric Lift Platform Car Fixed Hydraulic Lift Mobile Small Scissor Logistics Platform ...,Electric Lift Platform,N/A,17 hours before,9,United Arab Emirates,N/A,Yes,Yes,No,Yes,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1mzucu3nhGZ7Kp4tS3ny2n2XyJcLydJkv1wKIO8KPk1fl-pO1I3gWIZU_NNU1qGE1&uuid=3d24db7e-fcd4-4999-aae1-b69ca177494a&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1xHxzfYQ,3d Laser Engraved Crystal Photo Glass Craft Custom Photo Crystal Cube Cut Corner Blank Crystal Block...,Laser Engraved Crystal,N/A,18 hours before,0,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1xHxzfYQpoUgNIQ2R5UPyDEFbAb4A3yuugPy-rb-G6Oy6D_ncNTMmrqXnNG_DTQlw&uuid=3d24db7e-fcd4-4999-aae1-b69ca177494a&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID18RLEX7L,High Quality Woman Silicone Buttock Pants Silicone Panties Female Bum Hip Ass Large Fesses Silicone ...,High Quality Woman,N/A,19 hours before,7,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID18RLEX7LlNRSqbrUCFRgWSGn72GvaKTfHYftLGz0btpie8L_w76DSUImUvm_P1gYg&uuid=3d24db7e-fcd4-4999-aae1-b69ca177494a&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1Ls8y9a7,MJX H8H 2.4G 1:8 Remote Control Off-road Toys Model RC 4x4 Military Vehicle Rock Crawler Climbing ...,Remote Control Off,N/A,20 hours before,9,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1Ls8y9a7Bw3f4WRJbT8G4Tr32bF6eRJLiuHdnjTRlD7kixkWjXYJDmZJIrIkBu0NB&uuid=6d0247e0-5076-48e6-b1d2-a94d9aa99d30&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID11GVJ-Ts,"Philips Lumea Bri955 9000 Series Ipl Hair Removal Tool with 3 Attachments for Body, Face, Precision areas (bikini and Underarms)",Philips Lumea Bri,N/A,20 hours before,9,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID11GVJ-TsgD8PGbTAV8Xcilwi6JIJ7LwkpEOdNbi5bg48Qvn-DzRjxFQ-AyPRyMl6I&language=ar_AR&uuid=6d0247e0-5076-48e6-b1d2-a94d9aa99d30&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1Md0zPd9,Private Label Wholesale Organic Japanese Matcha Green Tea Powder Ceremonial Grade Matcha With OEM ...,Private Label Wholesale,N/A,21 hours before,6,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1Md0zPd9MBfn73XwrFpSfxXcadK4zOmMlNw3JGgDzoyhJO9m5x3lLT-7zrQVE1Yvb&uuid=6d0247e0-5076-48e6-b1d2-a94d9aa99d30&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID1-kCTBb4,TOP HIGH QUALITY REAR SHOCK ABSORBER OEM 23965716 USED FOR CHEVROLET GROOVE BAOJUN 510 FROM FACTORY ...,Car Model,N/A,23 hours before,4,United Arab Emirates,N/A,No,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1-kCTBb4LTUzZIWAGzHADLNdGgXUX4ho-PECWoZmL-ENHLL6gSVJh3xs6AVa608e5&uuid=28a64770-3ee3-4abf-bd7e-dc238b0fceaf&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
ID176Dp_A0,JLJ Customized All-in-one Photobooth Vending Machine Photography Booth Printable Selfie Photo Booth ...,Customized All,N/A,1 days ago,8,United Arab Emirates,N/A,Yes,No,No,No,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID176Dp_A0aoQrOwKzMay93k6syAZtIHO31hohrDBtmEnFV43WxQmUCMaMzfxUdkSIz&uuid=28a64770-3ee3-4abf-bd7e-dc238b0fceaf&tracelog=sourcing_list_subject,28-07-2025,28-07-2025
